Dates,03-17-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
P-Wedge,12,96.0,R1.7,31.9,7295,L6.9,7242,L874,36.0,119.7,120.1,L3.7,53.9,R5.8,R0.7,1.0,41.9
P-Wedge,13,95.5,R8.2,32.7,7746,R2.0,7742,R266,36.8,117.5,117.7,R17.3,54.5,R7.4,R8.4,0.0,43.2
P-Wedge,14,92.5,R6.7,27.2,7207,R2.4,7200,R307,28.4,118.4,119.6,R14.8,49.5,R8.0,R7.1,-1.4,36.3
,Average,93.5,R3.9,30.5,7375,L10.6,7185,L1306,32.5,116.8,117.6,L2.4,52.2,R9.5,R2.6,0.5,38.0
,Deviation,1.7,3.1,2.2,571,8.1,687,959.9,3.6,5.0,4.9,12.3,2.2,3.3,3.8,1.2,10.3
G-Wedge,0,87.6,R2.0,25.3,9233,R0.4,9233,R57,24.0,109.7,110.3,R3.8,47.1,R4.3,R2.2,-3.7,34.4
G-Wedge,1,88.0,R3.6,32.6,8641,L3.5,8625,L525,31.6,106.6,106.5,R3.0,53.1,R7.3,R2.6,-0.8,43.1
G-Wedge,2,83.3,R7.9,37.0,8757,R4.1,8734,R632,32.4,95.8,95.6,R15.2,55.2,R6.1,R8.3,2.1,47.9
G-Wedge,3,88.3,R4.3,23.5,7924,R2.5,7917,R339,22.0,112.0,113.8,R9.5,44.8,R4.2,R4.3,-2.7,31.7
G-Wedge,4,82.8,R5.3,30.2,9817,L0.5,9816,L86,26.0,99.7,99.6,R8.1,50.3,R9.1,R4.4,-1.3,40.0
G-Wedge,5,91.5,R2.2,27.2,8452,L1.2,8450,L179,28.3,115.6,116.3,R3.0,49.6,R6.8,R1.1,-1.0,36.2
G-Wedge,6,93.5,R6.7,25.5,6792,L5.6,6759,L666,26.8,121.3,123.1,R7.8,48.1,R10.5,R5.7,0.5,33.6
G-Wedge,7,80.0,R8.2,34.4,10727,R7.2,10643,R1341,27.9,91.4,90.9,R16.9,53.3,R5.9,R8.7,0.1,45.1
G-Wedge,8,81.7,R8.3,35.5,9354,R1.6,9350,R266,30.0,94.3,94.2,R13.6,54.0,R8.2,R8.6,1.6,46.1
,Average,86.3,R5.4,30.1,8855,R0.5,8836,R131,27.7,105.2,105.6,R9.0,50.6,R6.9,R5.1,-0.6,39.8
,Deviation,1.9,2.3,4.7,1063,3.7,1055,576.5,2.9,9.0,9.6,5.0,3.3,2.0,2.8,1.8,5.7
S-Wedge,0,78.6,R4.2,37.6,10016,L5.1,9976,L895,29.5,87.2,86.9,R2.4,55.0,R8.0,R3.3,0.0,49.2
S-Wedge,1,81.2,R4.5,35.5,10614,L1.8,10608,L339,29.7,92.1,91.7,R5.3,54.2,R10.6,R3.0,0.5,46.3
S-Wedge,2,77.0,R4.5,37.5,10791,R0.2,10791,R41,28.3,84.5,83.9,R6.2,54.8,R5.0,R5.1,0.5,48.9
S-Wedge,3,79.5,R7.4,37.9,10197,L1.8,10192,L318,30.5,88.0,87.4,R9.1,55.5,L0.0,L0.0,0.0,0.0
S-Wedge,4,78.0,R7.5,35.6,9743,R2.5,9733,R432,27.4,88.8,88.6,R12.3,53.3,R7.6,R7.6,0.5,46.4
S-Wedge,5,78.5,R3.4,36.2,11238,R1.6,11233,R307,28.4,87.3,86.5,R5.7,54.4,R3.5,R3.9,0.4,47.2
S-Wedge,6,86.5,R2.3,34.5,10421,L11.8,10202,L2124,32.4,100.1,99.6,L6.3,54.6,R8.2,R0.7,-0.8,45.5
S-Wedge,7,83.6,R3.9,36.9,10216,L3.2,10200,L562,32.7,94.2,93.6,R3.4,55.7,R6.3,R3.3,0.1,48.4
S-Wedge,8,82.0,R4.9,38.9,9625,L4.1,9600,L685,33.1,90.7,90.2,R4.0,56.5,L0.0,L0.0,0.0,0.0
,Average,80.6,R4.7,36.7,10318,L2.6,10282,L460,30.2,90.3,89.8,R4.7,54.9,R5.5,R3.0,0.1,36.9
,Deviation,1.3,1.6,1.3,483,4.0,489,721.8,1.8,4.0,4.0,4.8,0.9,3.5,2.4,0.4,19.7
